ID,prompt,response,lp,order,coder1,coder2,coder3,iq_all,cpi,cse,growth,fixed,IRT,Nv,Nw,Ac,Ap,Ci,Co,Ee,Ea,Oi,Oo,N_BFAS,A_BFAS,C_BFAS,E_BFAS,O_BFAS,CREAT_ACT,visual,music,dance,archit,writing,humor,inventions,science,theatre,culinary,caq,CAQLN,CACTLN,bric_pre,bric_pos,can_pret,can_pos,sqCAQ,lnvisual,lnmusic
1000,puszka,Popielniczka na rybach,1129,p1,2,1,2,0.1064516129032258,4.4,5,3.4,4,3.5,2.5,2.1,3.9,3.9,2.8,2.7,3.7,3.7,3.8,3.9,2.3,3.9,2.75,3.7,3.85,0.18181818181818182,1,0,0,0,1,2,0,0,2,6,12,2.5649493574615367,0.16705408466316624,86.5,71,73.5,63,3.4641016151377544,0.6931471805599453,0
1000,puszka,lejek do benzyny lub oleju,1130,p2,3,3,2,0.1064516129032258,4.4,5,3.4,4,3.5,2.5,2.1,3.9,3.9,2.8,2.7,3.7,3.7,3.8,3.9,2.3,3.9,2.75,3.7,3.85,0.18181818181818182,1,0,0,0,1,2,0,0,2,6,12,2.5649493574615367,0.16705408466316624,86.5,71,73.5,63,3.4641016151377544,0.6931471805599453,0
1000,puszka,cel do strzelania,1131,p3,2,2,2,0.1064516129032258,4.4,5,3.4,4,3.5,2.5,2.1,3.9,3.9,2.8,2.7,3.7,3.7,3.8,3.9,2.3,3.9,2.75,3.7,3.85,0.18181818181818182,1,0,0,0,1,2,0,0,2,6,12,2.5649493574615367,0.16705408466316624,86.5,71,73.5,63,3.4641016151377544,0.6931471805599453,0
1097,puszka,popielniczka,3994,p1,2,1,2,0.4129032258064516,5.4,5.5,4.4,1.6,3.3333333333333335,2.4,2.4,4.2,4,3.5,3.8,3.3,3.7,3.8,3.6,2.4,4.1,3.65,3.5,3.7,0.2727272727272727,0,0,0,0,10,0,0,1,0,1,12,2.5649493574615367,0.24116205681688804,58.5,58,51.5,49.5,3.4641016151377544,0,0
1097,puszka,grzechotka,3995,p2,3,3,2,0.4129032258064516,5.4,5.5,4.4,1.6,3.3333333333333335,2.4,2.4,4.2,4,3.5,3.8,3.3,3.7,3.8,3.6,2.4,4.1,3.65,3.5,3.7,0.2727272727272727,0,0,0,0,10,0,0,1,0,1,12,2.5649493574615367,0.24116205681688804,58.5,58,51.5,49.5,3.4641016151377544,0,0
1097,puszka,instrument muzyczny,3996,p3,3,3,2,0.4129032258064516,5.4,5.5,4.4,1.6,3.3333333333333335,2.4,2.4,4.2,4,3.5,3.8,3.3,3.7,3.8,3.6,2.4,4.1,3.65,3.5,3.7,0.2727272727272727,0,0,0,0,10,0,0,1,0,1,12,2.5649493574615367,0.24116205681688804,58.5,58,51.5,49.5,3.4641016151377544,0,0
1097,puszka,pudełko do przechowywania drobiazgów,3997,p4,1,1,3,0.4129032258064516,5.4,5.5,4.4,1.6,3.3333333333333335,2.4,2.4,4.2,4,3.5,3.8,3.3,3.7,3.8,3.6,2.4,4.1,3.65,3.5,3.7,0.2727272727272727,0,0,0,0,10,0,0,1,0,1,12,2.5649493574615367,0.24116205681688804,58.5,58,51.5,49.5,3.4641016151377544,0,0
1097,puszka,wazonik,3998,p5,2,2,2,0.4129032258064516,5.4,5.5,4.4,1.6,3.3333333333333335,2.4,2.4,4.2,4,3.5,3.8,3.3,3.7,3.8,3.6,2.4,4.1,3.65,3.5,3.7,0.2727272727272727,0,0,0,0,10,0,0,1,0,1,12,2.5649493574615367,0.24116205681688804,58.5,58,51.5,49.5,3.4641016151377544,0,0
1097,puszka,płotek z wielu puszek,3999,p6,3,3,4,0.4129032258064516,5.4,5.5,4.4,1.6,3.3333333333333335,2.4,2.4,4.2,4,3.5,3.8,3.3,3.7,3.8,3.6,2.4,4.1,3.65,3.5,3.7,0.2727272727272727,0,0,0,0,10,0,0,1,0,1,12,2.5649493574615367,0.24116205681688804,58.5,58,51.5,49.5,3.4641016151377544,0,0
1097,puszka,strach na ptaki,4000,p7,3,3,3,0.4129032258064516,5.4,5.5,4.4,1.6,3.3333333333333335,2.4,2.4,4.2,4,3.5,3.8,3.3,3.7,3.8,3.6,2.4,4.1,3.65,3.5,3.7,0.2727272727272727,0,0,0,0,10,0,0,1,0,1,12,2.5649493574615367,0.24116205681688804,58.5,58,51.5,49.5,3.4641016151377544,0,0
1097,puszka,pojemnik na rulony papierowe,4001,p8,3,3,2,0.4129032258064516,5.4,5.5,4.4,1.6,3.3333333333333335,2.4,2.4,4.2,4,3.5,3.8,3.3,3.7,3.8,3.6,2.4,4.1,3.65,3.5,3.7,0.2727272727272727,0,0,0,0,10,0,0,1,0,1,12,2.5649493574615367,0.24116205681688804,58.5,58,51.5,49.5,3.4641016151377544,0,0
1097,puszka,"zabawka - wąż, jaszczurka",4002,p9,3,3,3,0.4129032258064516,5.4,5.5,4.4,1.6,3.3333333333333335,2.4,2.4,4.2,4,3.5,3.8,3.3,3.7,3.8,3.6,2.4,4.1,3.65,3.5,3.7,0.2727272727272727,0,0,0,0,10,0,0,1,0,1,12,2.5649493574615367,0.24116205681688804,58.5,58,51.5,49.5,3.4641016151377544,0,0
1097,puszka,"pojemnik do gotowania wody, zupy",4003,p10,2,2,1,0.4129032258064516,5.4,5.5,4.4,1.6,3.3333333333333335,2.4,2.4,4.2,4,3.5,3.8,3.3,3.7,3.8,3.6,2.4,4.1,3.65,3.5,3.7,0.2727272727272727,0,0,0,0,10,0,0,1,0,1,12,2.5649493574615367,0.24116205681688804,58.5,58,51.5,49.5,3.4641016151377544,0,0
1097,puszka,naczynie na drinki,4004,p11,2,2,1,0.4129032258064516,5.4,5.5,4.4,1.6,3.3333333333333335,2.4,2.4,4.2,4,3.5,3.8,3.3,3.7,3.8,3.6,2.4,4.1,3.65,3.5,3.7,0.2727272727272727,0,0,0,0,10,0,0,1,0,1,12,2.5649493574615367,0.24116205681688804,58.5,58,51.5,49.5,3.4641016151377544,0,0
1097,puszka,ozdoba,4005,p12,2,2,3,0.4129032258064516,5.4,5.5,4.4,1.6,3.3333333333333335,2.4,2.4,4.2,4,3.5,3.8,3.3,3.7,3.8,3.6,2.4,4.1,3.65,3.5,3.7,0.2727272727272727,0,0,0,0,10,0,0,1,0,1,12,2.5649493574615367,0.24116205681688804,58.5,58,51.5,49.5,3.4641016151377544,0,0
2004,puszka,można z niej zrobić fajną zabawkę np ludzika,2617,p1,3,3,3,0.7741935483870968,5.2,5.166666666666667,4.6,1.6,3,2.4,2.8,3.8,3.5,3.3,3.6,3.5,3,3.7,3.5,2.6,3.65,3.45,3.25,3.6,0.15151515151515152,1,0,0,0,0,1,1,1,0,1,5,1.791759469228055,0.1410785982599056,51,40.5,50,50,2.23606797749979,0.6931471805599453,0
2004,puszka,można ją wykorzystać jako instrument muzyczny,2618,p2,3,3,2,0.7741935483870968,5.2,5.166666666666667,4.6,1.6,3,2.4,2.8,3.8,3.5,3.3,3.6,3.5,3,3.7,3.5,2.6,3.65,3.45,3.25,3.6,0.15151515151515152,1,0,0,0,0,1,1,1,0,1,5,1.791759469228055,0.1410785982599056,51,40.5,50,50,2.23606797749979,0.6931471805599453,0
2004,puszka,W nietypowo trudnej sytuacji może posłużyć jako narzędzie np nuż,2619,p3,3,3,3,0.7741935483870968,5.2,5.166666666666667,4.6,1.6,3,2.4,2.8,3.8,3.5,3.3,3.6,3.5,3,3.7,3.5,2.6,3.65,3.45,3.25,3.6,0.15151515151515152,1,0,0,0,0,1,1,1,0,1,5,1.791759469228055,0.1410785982599056,51,40.5,50,50,2.23606797749979,0.6931471805599453,0
2004,puszka,może służyć jako przenośna toaleta :),2620,p4,2,2,4,0.7741935483870968,5.2,5.166666666666667,4.6,1.6,3,2.4,2.8,3.8,3.5,3.3,3.6,3.5,3,3.7,3.5,2.6,3.65,3.45,3.25,3.6,0.15151515151515152,1,0,0,0,0,1,1,1,0,1,5,1.791759469228055,0.1410785982599056,51,40.5,50,50,2.23606797749979,0.6931471805599453,0
2717,puszka,Popielniczka,1946,p1,2,1,2,0.24193548387096775,4.8,5.333333333333333,3.8,2.8,2.5,2.1,2.4,3.4,4.1,3.7,3.4,3.8,3,3,2.8,2.25,3.75,3.55,3.4,2.9,0,0,0,0,0,0,1,0,0,0,0,1,0.6931471805599453,0,40,15.5,40,31,1,0,0
2717,puszka,Pojemnik na długopisy,1947,p2,1,1,2,0.24193548387096775,4.8,5.333333333333333,3.8,2.8,2.5,2.1,2.4,3.4,4.1,3.7,3.4,3.8,3,3,2.8,2.25,3.75,3.55,3.4,2.9,0,0,0,0,0,0,1,0,0,0,0,1,0.6931471805599453,0,40,15.5,40,31,1,0,0
2736,puszka,Pudełko rezonansowe,2186,p1,3,4,3,0.5096774193548387,4.6,5.166666666666667,4,4,3.5,2.5,2.4,4,3.6,3.9,3.9,3.6,3.5,3.7,3.9,2.45,3.8,3.9,3.55,3.8,0.06060606060606061,0,1,0,0,0,1,1,1,0,1,5,1.791759469228055,0.0588405000229334,55,39,43,37.5,2.23606797749979,0,0.6931471805599453
2736,puszka,Po roxcięciu śmigło,2187,p2,4,4,3,0.5096774193548387,4.6,5.166666666666667,4,4,3.5,2.5,2.4,4,3.6,3.9,3.9,3.6,3.5,3.7,3.9,2.45,3.8,3.9,3.55,3.8,0.06060606060606061,0,1,0,0,0,1,1,1,0,1,5,1.791759469228055,0.0588405000229334,55,39,43,37.5,2.23606797749979,0,0.6931471805599453
2736,puszka,ozdoba choinkow,2188,p3,4,3,3,0.5096774193548387,4.6,5.166666666666667,4,4,3.5,2.5,2.4,4,3.6,3.9,3.9,3.6,3.5,3.7,3.9,2.45,3.8,3.9,3.55,3.8,0.06060606060606061,0,1,0,0,0,1,1,1,0,1,5,1.791759469228055,0.0588405000229334,55,39,43,37.5,2.23606797749979,0,0.6931471805599453
3287,puszka,do rysowania kółek,902,p1,3,3,2,0.8032258064516129,5.2,5,4.2,2.4,4.333333333333333,3.2,3.2,3.6,3.6,3.9,3.8,2.9,3.6,3.3,2.8,3.2,3.6,3.85,3.25,3.05,0.12121212121212122,0,0,1,0,0,0,0,0,1,1,3,1.3862943611198906,0.11441035117774412,57.5,47.5,38.5,40.5,1.7320508075688772,0,0
3287,puszka,do odmierzania ilości,903,p2,3,3,3,0.8032258064516129,5.2,5,4.2,2.4,4.333333333333333,3.2,3.2,3.6,3.6,3.9,3.8,2.9,3.6,3.3,2.8,3.2,3.6,3.85,3.25,3.05,0.12121212121212122,0,0,1,0,0,0,0,0,1,1,3,1.3862943611198906,0.11441035117774412,57.5,47.5,38.5,40.5,1.7320508075688772,0,0
3287,puszka,jako szklankę,904,p3,2,1,1,0.8032258064516129,5.2,5,4.2,2.4,4.333333333333333,3.2,3.2,3.6,3.6,3.9,3.8,2.9,3.6,3.3,2.8,3.2,3.6,3.85,3.25,3.05,0.12121212121212122,0,0,1,0,0,0,0,0,1,1,3,1.3862943611198906,0.11441035117774412,57.5,47.5,38.5,40.5,1.7320508075688772,0,0
3287,puszka,jako kieliszek,905,p4,2,2,1,0.8032258064516129,5.2,5,4.2,2.4,4.333333333333333,3.2,3.2,3.6,3.6,3.9,3.8,2.9,3.6,3.3,2.8,3.2,3.6,3.85,3.25,3.05,0.12121212121212122,0,0,1,0,0,0,0,0,1,1,3,1.3862943611198906,0.11441035117774412,57.5,47.5,38.5,40.5,1.7320508075688772,0,0
3287,puszka,do wykrawania ciastek z ciasta,906,p5,3,3,2,0.8032258064516129,5.2,5,4.2,2.4,4.333333333333333,3.2,3.2,3.6,3.6,3.9,3.8,2.9,3.6,3.3,2.8,3.2,3.6,3.85,3.25,3.05,0.12121212121212122,0,0,1,0,0,0,0,0,1,1,3,1.3862943611198906,0.11441035117774412,57.5,47.5,38.5,40.5,1.7320508075688772,0,0
4554,puszka,jako popielniczkę,2167,p1,2,1,2,0.8387096774193549,5.2,5.666666666666667,4,2.2,3.3333333333333335,3.8,2.6,1.5,1.9,2.4,2.2,2.9,4,3.8,3.4,3.2,1.7,2.3,3.45,3.6,0.12121212121212122,0,1,0,0,1,1,1,1,0,1,6,1.9459101490553132,0.11441035117774412,56,36.5,48,36.5,2.449489742783178,0,0.6931471805599453
4554,puszka,po rozcięciu można wykorzystać jako blachę,2168,p2,2,2,2,0.8387096774193549,5.2,5.666666666666667,4,2.2,3.3333333333333335,3.8,2.6,1.5,1.9,2.4,2.2,2.9,4,3.8,3.4,3.2,1.7,2.3,3.45,3.6,0.12121212121212122,0,1,0,0,1,1,1,1,0,1,6,1.9459101490553132,0.11441035117774412,56,36.5,48,36.5,2.449489742783178,0,0.6931471805599453
4554,puszka,do wykonania wazonu,2169,p3,2,2,2,0.8387096774193549,5.2,5.666666666666667,4,2.2,3.3333333333333335,3.8,2.6,1.5,1.9,2.4,2.2,2.9,4,3.8,3.4,3.2,1.7,2.3,3.45,3.6,0.12121212121212122,0,1,0,0,1,1,1,1,0,1,6,1.9459101490553132,0.11441035117774412,56,36.5,48,36.5,2.449489742783178,0,0.6931471805599453
